Rep0

Winner id	Valuation	Bid	Surplus

22	94.39557034724439	90.0	4.395570347244387

41	96.85940190383843	90.0	6.859401903838432

26	97.1678182426017	90.0	7.167818242601697

44	98.01843843997922	85.0	13.01843843997922

32	95.10437357641098	85.0	10.104373576410978

14	97.31404605349043	85.0	12.31404605349043

4	97.66260037678617	85.0	12.662600376786173

37	90.43498773179749	85.0	5.4349877317974915

9	97.44292392240698	85.0	12.442923922406976

23	94.57443335132416	85.0	9.57443335132416


Rep1

Winner id	Valuation	Bid	Surplus

22	94.39557034724439	90.0	4.395570347244387

32	95.10437357641098	90.0	5.104373576410978

41	96.85940190383843	90.0	6.859401903838432

14	97.31404605349043	90.0	7.314046053490429

26	97.1678182426017	90.0	7.167818242601697

37	90.43498773179749	90.0	0.4349877317974915

9	97.44292392240698	90.0	7.442923922406976

44	98.01843843997922	85.0	13.01843843997922

23	94.57443335132416	85.0	9.57443335132416

4	97.66260037678617	85.0	12.662600376786173


Rep2

Winner id	Valuation	Bid	Surplus

32	95.10437357641098	90.0	5.104373576410978

41	96.85940190383843	90.0	6.859401903838432

37	90.43498773179749	90.0	0.4349877317974915

9	97.44292392240698	90.0	7.442923922406976

23	94.57443335132416	90.0	4.57443335132416

22	94.39557034724439	90.0	4.395570347244387

26	97.1678182426017	90.0	7.167818242601697

14	97.31404605349043	90.0	7.314046053490429

4	97.66260037678617	90.0	7.662600376786173

44	98.01843843997922	85.0	13.01843843997922


Rep3

Winner id	Valuation	Bid	Surplus

41	96.85940190383843	90.0	6.859401903838432

26	97.1678182426017	90.0	7.167818242601697

23	94.57443335132416	90.0	4.57443335132416

37	90.43498773179749	90.0	0.4349877317974915

4	97.66260037678617	90.0	7.662600376786173

14	97.31404605349043	90.0	7.314046053490429

9	97.44292392240698	90.0	7.442923922406976

32	95.10437357641098	90.0	5.104373576410978

44	98.01843843997922	85.0	13.01843843997922

22	94.39557034724439	85.0	9.395570347244387


Rep4

Winner id	Valuation	Bid	Surplus

23	94.57443335132416	90.0	4.57443335132416

