0	81.0	76.0	76.0	76.0	76.0	385.0
1	80.0	80.0	80.0	80.0	76.0	396.0
2	81.0	81.0	81.0	81.0	81.0	405.0
3	80.0	76.0	76.0	76.0	76.0	384.0
4	81.0	81.0	81.0	81.0	80.0	404.0
5	101.0	81.0	81.0	81.0	81.0	425.0
6	91.0	81.0	81.0	81.0	76.0	410.0
7	76.0	76.0	75.0	75.0	75.0	377.0
8	80.0	80.0	80.0	80.0	75.0	395.0
9	91.0	76.0	76.0	76.0	75.0	394.0

Next Valuation Set

0	86.0	85.0	85.0	85.0	85.0	426.0
1	90.0	86.0	86.0	85.0	85.0	432.0
2	90.0	90.0	90.0	86.0	86.0	442.0
3	90.0	90.0	86.0	86.0	86.0	438.0
4	86.0	86.0	86.0	85.0	85.0	428.0
5	86.0	86.0	86.0	86.0	86.0	430.0
6	96.0	91.0	91.0	86.0	86.0	450.0
7	91.0	90.0	86.0	86.0	85.0	438.0
8	91.0	91.0	86.0	86.0	86.0	440.0
9	91.0	91.0	86.0	86.0	86.0	440.0

Next Valuation Set

0	80.0	80.0	80.0	80.0	80.0	400.0
1	81.0	81.0	81.0	80.0	76.0	399.0
2	81.0	81.0	81.0	81.0	81.0	405.0
3	81.0	80.0	80.0	76.0	76.0	393.0
4	76.0	76.0	76.0	76.0	76.0	380.0
5	81.0	81.0	80.0	76.0	76.0	394.0
6	131.0	81.0	81.0	81.0	81.0	455.0
7	81.0	80.0	80.0	76.0	75.0	392.0
8	81.0	80.0	80.0	80.0	76.0	397.0
9	81.0	81.0	80.0	80.0	80.0	402.0

Next Valuation Set

0	81.0	80.0	80.0	80.0	80.0	401.0
1	81.0	81.0	80.0	80.0	80.0	402.0
2	85.0	81.0	80.0	80.0	80.0	406.0
3	85.0	81.0	81.0	81.0	81.0	409.0
4	86.0	85.0	81.0	81.0	81.0	414.0
5	85.0	81.0	81.0	81.0	81.0	409.0
6	85.0	81.0	81.0	81.0	81.0	409.0
7	85.0	81.0	81.0	81.0	81.0	409.0
8	86.0	81.0	81.0	81.0	81.0	410.0
9	86.0	81.0	81.0	81.0	81.0	410.0

Next Valuation Set

0	75.0	75.0	70.0	70.0	70.0	360.0
1	75.0	75.0	71.0	70.0	70.0	361.0
2	70.0	70.0	70.0	70.0	66.0	346.0
3	91.0	71.0	70.0	70.0	70.0	372.0
4	70.0	70.0	66.0	66.0	66.0	338.0
5	91.0	71.0	71.0	70.0	70.0	373.0
6	71.0	71.0	71.0	70.0	70.0	353.0
7	71.0	71.0	71.0	70.0	70.0	353.0
8	75.0	71.0	71.0	71.0	70.0	358.0
9	96.0	75.0	71.0	71.0	71.0	384.0

Next Valuation Set

0	85.0	85.0	85.0	85.0	81.0	421.0
1	86.0	85.0	81.0	81.0	81.0	414.0
2	86.0	86.0	86.0	85.0	81.0	424.0
3	85.0	81.0	81.0	81.0	81.0	409.0
4	86.0	85.0	85.0	81.0	81.0	418.0
5	86.0	86.0	85.0	85.0	81.0	423.0
6	86.0	86.0	86.0	81.0	81.0	420.0
7	86.0	86.0	86.0	85.0	81.0	424.0
8	86.0	86.0	86.0	85.0	81.0	424.0
9	86.0	86.0	86.0	81.0	81.0	420.0

Next Valuation Set

0	71.0	70.0	70.0	70.0	70.0	351.0
1	66.0	66.0	66.0	66.0	66.0	330.0
2	71.0	70.0	66.0	66.0	66.0	339.0
3	71.0	71.0	70.0	66.0	66.0	344.0
4	71.0	71.0	70.0	66.0	66.0	344.0
5	71.0	71.0	71.0	66.0	66.0	345.0
6	71.0	71.0	71.0	66.0	66.0	345.0
7	71.0	66.0	66.0	66.0	66.0	335.0
8	70.0	66.0	66.0	66.0	65.0	333.0
9	71.0	70.0	66.0	66.0	66.0	339.0

Next Valuation Set

0	91.0	90.0	90.0	90.0	90.0	451.0
1	90.0	90.0	90.0	90.0	90.0	450.0
2	95.0	95.0	91.0	90.0	90.0	461.0
3	91.0	91.0	90.0	90.0	90.0	452.0
4	91.0	91.0	91.0	91.0	90.0	454.0
5	91.0	91.0	91.0	91.0	86.0	450.0
6	91.0	91.0	86.0	86.0	86.0	440.0
7	91.0	91.0	91.0	86.0	86.0	445.0
8	91.0	91.0	91.0	91.0	90.0	454.0
9	91.0	91.0	91.0	91.0	90.0	454.0

Next Valuation Set

0	75.0	70.0	70.0	70.0	70.0	355.0
1	76.0	75.0	71.0	71.0	71.0	364.0
2	75.0	71.0	71.0	71.0	70.0	358.0
3	71.0	71.0	70.0	70.0	70.0	352.0
4	75.0	71.0	71.0	70.0	70.0	357.0
5	75.0	71.0	71.0	71.0	71.0	359.0
6	71.0	71.0	71.0	71.0	71.0	355.0
7	75.0	71.0	71.0	71.0	70.0	358.0
8	75.0	71.0	71.0	70.0	70.0	357.0
9	76.0	71.0	71.0	71.0	70.0	359.0

Next Valuation Set

0	75.0	75.0	75.0	75.0	75.0	375.0
1	75.0	75.0	75.0	70.0	70.0	365.0
2	75.0	75.0	75.0	75.0	71.0	371.0
3	75.0	75.0	75.0	75.0	71.0	371.0
4	76.0	76.0	75.0	75.0	75.0	377.0
5	76.0	76.0	71.0	71.0	71.0	365.0
6	76.0	76.0	76.0	76.0	71.0	375.0
7	76.0	76.0	71.0	71.0	71.0	365.0
8	76.0	75.0	71.0	71.0	71.0	364.0
9	76.0	76.0	76.0	71.0	71.0	370.0

Next Valuation Set

